,Symbol,Avg Return,Sharpe Ratio,Horizon Return
98,CVOPRL,-0.18,-19.13,-22.27
152,GPHISPAT,-0.03,-19.19,-9.65
267,PREMIERCEM,0.07,-19.24,0.71
76,BENGALWTL,-0.19,-19.34,-22.52
206,MAKSONSPIN,-0.06,-19.4,-12.06
85,BSRMLTD,-0.06,-19.42,-11.42
164,IBNSINA,0.3,-19.44,26.93
289,RELIANCINS,0.07,-19.45,0.23
353,VAMLRBBF,-0.13,-19.49,-17.55
169,ICBEPMF1S1,0.04,-19.51,-2.24
294,RSRMSTEEL,-0.04,-19.57,-9.99
134,FBFIF,-0.11,-19.6,-16.41
167,ICBAGRANI1,-0.15,-19.66,-19.01
3,01.Bank,-0.01,-19.69,-7.58
143,GBBPOWER,-0.06,-19.84,-11.26
271,PRIMEFIN,-0.07,-19.9,-12.76
79,BGIC,0.13,-19.93,7.89
183,ISLAMICFIN,0.09,-19.94,3.37
